,동,0~4세,5~9세,10~14세,15~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상+
1,사직동,0.081948181,0.100257728,0.092633625,0.08194125,0.165413727,0.193116561,0.196235361,0.199782385,0.193366148,0.227074348,0.351489806,0.439483039,0.28981086
2,삼청동,0.019462693,0.022340037,0.032568594,0.026395641,0.045777019,0.054905981,0.054232958,0.057049332,0.072382333,0.085815806,0.120905933,0.148105131,0.122025625
3,부암동,0.07682642,0.09889553,0.117994415,0.114534128,0.200845742,0.176426087,0.212264941,0.217922564,0.206657513,0.231643573,0.291615127,0.412084399,0.167785235
4,평창동,0.170725378,0.19288715,0.19140723,0.217591891,0.332030374,0.294868109,0.355399818,0.423101956,0.397153227,0.408055481,0.586422692,0.814504091,0.381330079
5,무악동,0.100386522,0.118783612,0.129206554,0.124174275,0.125653866,0.126678928,0.198377157,0.177471573,0.160592769,0.187447657,0.221355727,0.238472629,0.259304454
6,교남동,0.151262685,0.126411918,0.116659637,0.09984438,0.170469985,0.237340093,0.236065648,0.204663894,0.184236514,0.21161931,0.230198397,0.262235527,0.228798048
7,가회동,0.02731606,0.037596648,0.045382467,0.040855861,0.065368085,0.077569764,0.099929444,0.091000781,0.098225539,0.129834614,0.130375056,0.169725417,0.152532032
8,종로1.2.3.4가동,0.043364246,0.040321043,0.032034683,0.04016728,0.1423565,0.156048713,0.15627739,0.199570934,0.238124061,0.24872401,0.28065212,0.534534632,0.594874924
9,종로5·6가동,0.020487045,0.017981006,0.024826879,0.041314916,0.17726219,0.098689737,0.084076506,0.128012411,0.129590094,0.155527551,0.146554505,0.199665539,0.137278829
10,이화동,0.042681344,0.04195568,0.054192005,0.069317248,0.268377923,0.176871229,0.13438369,0.145433637,0.151215434,0.177706004,0.230499545,0.259146915,0.198291641
11,창신1동,0.025950257,0.02588175,0.025894702,0.040855861,0.123458956,0.08294816,0.095097173,0.171735282,0.168840517,0.162313213,0.146506339,0.234039145,0.137278829
12,창신2동,0.044047148,0.042772998,0.053391138,0.085154633,0.21937338,0.141116168,0.163291607,0.266011775,0.22791381,0.240907937,0.22586139,0.219542084,0.198291641
13,창신3동,0.073411913,0.053670577,0.070209347,0.067710557,0.136524849,0.131616093,0.127279737,0.164580498,0.160093783,0.158441673,0.179395213,0.257802044,0.167785235
14,숭인1동,0.045754401,0.053125698,0.049653758,0.048889317,0.11872051,0.119345754,0.128307056,0.153119579,0.145309276,0.155067801,0.164119355,0.18731109,0.137278829
15,숭인2동,0.048827458,0.043862756,0.039776398,0.055775137,0.266412805,0.20796577,0.166176722,0.223902941,0.221097815,0.219091913,0.224066357,0.249482207,0.274557657
16,청운효자동,0.123263723,0.141940968,0.15857168,0.145290788,0.22136724,0.228954957,0.282303952,0.255768828,0.224981986,0.298902367,0.374006112,0.429670072,0.28981086
17,혜화동,0.088435746,0.126411918,0.154300389,0.241692259,0.954525051,0.3011616,0.292178554,0.294038892,0.258763848,0.363866359,0.464288008,0.444315393,0.33557047
18,소공동,0.032779273,0.048766666,0.029365126,0.022493677,0.03412926,0.085224662,0.088671658,0.056230281,0.048125425,0.034570543,0.035960969,0.057737633,0.091519219
19,회현동,0.033803625,0.038413966,0.032034683,0.030068078,0.073157392,0.087268144,0.101178337,0.140847768,0.186074097,0.171711397,0.221030423,0.439881909,0.655887736
20,명동,0.015023833,0.025064432,0.021623411,0.025477532,0.06175739,0.07150721,0.071585373,0.080754243,0.095846929,0.100226848,0.112978861,0.141927906,0.137278829
21,필동,0.032437822,0.0310581,0.020021677,0.033740515,0.17479113,0.093240453,0.065459529,0.081677062,0.10007005,0.103184259,0.142940284,0.257403173,0.137278829
