,자치구,동,공원수,유치원,초등학교,중학교,고등학교,특수학교,학원,여가시설,음식점,의료시설,공기오염도,cctv,노인복지시설,체육시설,공공도서관
3,종로구,사직동,5.452948557,0.925972396,0.720200753,0.462986198,0.771643664,0.205771644,41,25,678,39,0.091982161,99.02760351,3.90966123,0.874529486,0.360100376
4,종로구,삼청동,6.60560435,1.121706399,0.87243831,0.560853199,0.934755332,0.249268089,11,2,317,11,0.111425545,119.9602677,4.736093685,1.059389377,0.436219155
5,종로구,부암동,10.06357173,1.708908407,1.329150983,0.854454203,1.424090339,0.379757424,41,6,180,11,0.169755696,182.7582601,7.21539105,1.613969051,0.664575491
6,종로구,평창동,39.32329569,6.677540778,5.193642827,3.338770389,5.564617315,1.483897951,61,13,214,20,0.663318513,714.1258887,28.19406106,6.30656629,2.596821414
7,종로구,무악동,1.595984944,0.271016311,0.210790464,0.135508156,0.225846926,0.060225847,24,6,64,16,0.026921608,28.98368883,1.144291092,0.255959849,0.105395232
8,종로구,교남동,1.551652028,0.26348808,0.204935174,0.13174404,0.2195734,0.058552907,12,8,140,20,0.026173786,28.17858637,1.112505228,0.248849854,0.102467587
9,종로구,가회동,2.393977415,0.406524467,0.316185696,0.203262233,0.338770389,0.09033877,17,10,233,10,0.040382412,43.47553325,1.716436637,0.383939774,0.158092848
10,종로구,종로1.2.3.4가동,10.41823505,1.769134253,1.375993308,0.884567127,1.474278545,0.393140945,192,132,1938,140,0.175738276,189.1990799,7.469677959,1.670849017,0.687996654
11,종로구,종로5·6가동,2.659974906,0.451693852,0.35131744,0.225846926,0.376411543,0.100376412,,,,,0.044869347,48.30614806,1.907151819,0.426599749,0.17565872
12,종로구,이화동,3.457967378,0.587202008,0.456712673,0.293601004,0.489335006,0.130489335,36,44,429,30,0.058330151,62.79799247,2.479297365,0.554579674,0.228356336
13,종로구,창신1동,1.374320368,0.233375157,0.181514011,0.116687578,0.194479297,0.051861146,26,13,181,20,0.023182496,24.9581765,0.985361773,0.22040987,0.090757005
14,종로구,창신2동,1.152655793,0.195734003,0.152237558,0.097867001,0.163111669,0.043496445,10,12,90,11,0.019443384,20.93266416,0.826432455,0.184859891,0.076118779
15,종로구,창신3동,1.019657047,0.17314931,0.134671685,0.086574655,0.144291092,0.038477624,11,,20,4,0.017199916,18.51735675,0.731074864,0.163529904,0.067335843
16,종로구,숭인1동,1.019657047,0.17314931,0.134671685,0.086574655,0.144291092,0.038477624,15,2,77,12,0.017199916,18.51735675,0.731074864,0.163529904,0.067335843
17,종로구,숭인2동,1.551652028,0.26348808,0.204935174,0.13174404,0.2195734,0.058552907,30,17,177,20,0.026173786,28.17858637,1.112505228,0.248849854,0.102467587
18,종로구,청운효자동,11.39355918,1.934755332,1.504809703,0.967377666,1.61229611,0.429945629,31,5,244,13,0.19219037,206.9113342,8.168966959,1.827268925,0.752404852
19,종로구,혜화동,4.965286491,0.843161857,0.655792555,0.421580928,0.702634881,0.187369302,52,34,547,28,0.083756114,90.17147637,3.560016729,0.796319532,0.327896278
21,중구,소공동,6.962851406,1.239959839,1.144578313,0.763052209,1.144578313,0,25,19,758,52,0.177077877,120.1807229,5.055220884,2.1937751,0.476907631
22,중구,회현동,6.156626506,1.096385542,1.012048193,0.674698795,1.012048193,0,15,30,658,74,0.156574123,106.2650602,4.469879518,1.939759036,0.421686747
23,중구,명동,7.256024096,1.292168675,1.192771084,0.795180723,1.192771084,0,42,67,1348,163,0.184533787,125.2409639,5.268072289,2.286144578,0.496987952
24,중구,필동,8.355421687,1.487951807,1.373493976,0.915662651,1.373493976,0,23,22,319,24,0.212493452,144.2168675,6.06626506,2.63253012,0.572289157
25,중구,장충동,9.967871486,1.775100402,1.638554217,1.092369478,1.638554217,0,9,12,169,6,0.25350096,172.0481928,7.236947791,3.140562249,0.682730924
26,중구,광희동,5.423694779,0.965863454,0.891566265,0.59437751,0.891566265,0,23,29,568,43,0.137934346,93.61445783,3.937751004,1.708835341,0.371485944
27,중구,을지로동,4.397590361,0.78313253,0.722891566,0.481927711,0.722891566,0,18,21,340,21,0.111838659,75.90361446,3.192771084,1.385542169,0.301204819
28,중구,신당5동,2.858433735,0.509036145,0.469879518,0.313253012,0.469879518,0,17,8,164,17,0.072695128,49.3373494,2.075301205,0.90060241,0.195783133
29,중구,황학동,2.418674699,0.430722892,0.397590361,0.265060241,0.397590361,0,5,10,152,14,0.061511262,41.74698795,1.756024096,0.762048193,0.165662651
